"","Samp","Concen","PD","low_avg","norm"
"1","ASF492","low",0.963,0.881,0.082
"2","ASF492","low",0.922,0.881,0.041
"3","ASF492","low",0.759,0.881,-0.122
"4","ASF492","high",3.16,0.881,2.279
"5","ASF492","high",4.33,0.881,3.449
"6","ASF492","high",3.37,0.881,2.489
"7","ASF500","low",2.66,2.19,0.47
"8","ASF500","low",1.71,2.19,-0.48
"9","ASF500","low",2.2,2.19,0.0100000000000002
"10","ASF500","high",7.5,2.19,5.31
"11","ASF500","high",7.67,2.19,5.48
"12","ASF500","high",8.09,2.19,5.9
"13","ASF356","low",6.4,7.65,-1.25
"14","ASF356","low",7.09,7.65,-0.56
"15","ASF356","low",9.47,7.65,1.82
"16","ASF356","high",11.66,7.65,4.01
"17","ASF356","high",10.886,7.65,3.236
"18","ASF356","high",8.38,7.65,0.73
"19","ASF519","low",6.2,7.84,-1.64
"20","ASF519","low",8.62,7.84,0.779999999999999
"21","ASF519","low",8.69,7.84,0.85
"22","ASF519","high",11.082,7.84,3.242
"23","ASF519","high",15.08,7.84,7.24
"24","ASF519","high",17.42,7.84,9.58
"25","ASF519","high",13.58,7.84,5.74
