"","Samp","Concen","PD","low_avg","norm"
"1","Ace","low",0.711,0.275,0.436
"2","Ace","low",0.0578,0.275,-0.2172
"3","Ace","low",0.056,0.275,-0.219
"4","Ace","high",3.93,0.275,3.655
"5","Ace","high",3.72,0.275,3.445
"6","Ace","high",3.61,0.275,3.335
"7","Iso","low",6.17,5.42,0.75
"8","Iso","low",4.99,5.42,-0.43
"9","Iso","low",5.09,5.42,-0.33
"10","Iso","high",8.72,5.42,3.3
"11","Iso","high",8.11,5.42,2.69
"12","Iso","high",7.93,5.42,2.51
"13","Pro","low",3.36,3.68,-0.32
"14","Pro","low",1.99,3.68,-1.69
"15","Pro","low",3.15,3.68,-0.53
"16","Pro","low",6.2,3.68,2.52
"17","Pro","high",13.11,3.68,9.43
"18","Pro","high",11.94,3.68,8.26
"19","Pro","high",11.54,3.68,7.86
"20","Pro","high",10.54,3.68,6.86
